addition to geoid,geoid,,hpi 2010,hpi 2019,% change
,6037272301,14000US06037272301,373.12,719.58,0.93
,6037273100,14000US06037273100,476.56,822.83,0.73
,6037273800,14000US06037273800,510.32,945.49,0.85
,6037275101,14000US06037275101,214.78,360.19,0.68
,6037275102,14000US06037275102,359.78,674.09,0.87
,6037275200,14000US06037275200,422.77,940.13,1.22
,6037275311,14000US06037275311,632.97,1147.54,0.81
,6037275400,14000US06037275400,524.82,978.9,0.87
,6037275500,14000US06037275500,409.63,809.72,0.98
,6037275603,14000US06037275603,362.41,643.15,0.77
,6037276000,14000US06037276000,755.63,1216.39,0.61
,6037276100,14000US06037276100,321.36,541.94,0.69
,6037276400,14000US06037276400,605.83,1002.12,0.65
,6037276500,14000US06037276500,425.4,772.58,0.82
,6037276601,14000US06037276601,350.03,558.17,0.59
,6037276604,14000US06037276604,367.85,640.93,0.74
,6037277000,14000US06037277000,600.41,968.27,0.61
,6037277100,14000US06037277100,566.25,920.12,0.62
,6037278001,14000US06037278001,369,612.24,0.66
